SB,Lb,L avg.,Rb,Rl,A,Dd,Fs,Rt,Re,Ff,Rc,Lg,In,R,RR,Rn,HI,S
SB1,9.59,0.373,3.717,2.046,32.32,3.19,8.54,8.23,0.669,0.351,0.361,0.157,27.21,1106,0.115,3.524,0.438,44.51
SB2,10.96,0.385,4.499,2.375,37.30,3.29,8.55,9.21,0.629,0.310,0.390,0.152,28.18,1109,0.101,3.654,0.406,41.91
SB3,15.63,0.427,4.154,2.023,44.50,3.40,7.98,8.12,0.482,0.182,0.292,0.147,27.15,1178,0.075,4.010,0.350,34.26
SB4,9.69,0.488,4.333,2.347,14.47,3.20,6.57,3.83,0.443,0.154,0.296,0.156,21.01,671,0.069,2.148,0.271,29.46
SB5,14.94,0.408,2.871,1.762,46.72,3.34,8.18,6.26,0.516,0.209,0.157,0.150,27.31,1475,0.099,4.926,0.273,34.77
SB6,10.46,0.376,3.908,2.083,30.42,3.14,8.35,7.25,0.595,0.278,0.311,0.159,26.21,1250,0.119,3.924,0.438,50.24
SB7,9.80,0.396,3.648,1.905,26.10,3.39,8.55,7.34,0.588,0.272,0.356,0.148,28.95,903,0.092,3.059,0.481,39.52
SB8,9.15,0.414,2.324,1.572,24.15,3.41,8.24,5.92,0.606,0.289,0.269,0.146,28.14,1045,0.114,3.568,0.281,32.45
SB9,10.17,0.381,2.304,1.789,28.77,2.92,7.65,6.70,0.595,0.278,0.335,0.171,22.30,1195,0.118,3.484,0.404,51.07
SB10,8.57,0.450,3.499,1.764,23.18,3.55,7.89,7.02,0.634,0.315,0.429,0.141,28.02,839,0.098,2.979,0.433,32.15
SB11,7.67,0.406,4.310,2.192,13.05,3.39,8.35,5.33,0.531,0.222,0.392,0.147,28.33,1209,0.158,4.102,0.392,40.94
SB12,14.37,0.382,2.396,1.763,30.93,3.28,8.57,6.66,0.437,0.150,0.245,0.153,28.07,1030,0.072,3.374,0.385,43.35
SB13,10.21,0.387,3.485,2.033,21.29,3.16,8.17,5.73,0.510,0.204,0.290,0.158,25.84,1218,0.119,3.851,0.479,45.62
